a1,a2,a3,a4,b1,b2,b3,b4,x,w,m1,m2,y
-1.4896,-1.4891,-1.4937,-1.435,0.2835,0.8081,-0.9916,-0.0522,-1.9251,-0.5058,-1.9016,-1.3681,0.0792
-2.5261,-2.1903,-2.0557,-2.2888,-2.327,-1.3427,-1.2778,-0.6823,-3.0188,-1.5275,-2.6689,-1.0912,-2.124
1.2449,1.455,-0.1177,1.6386,1.5783,0.96,1.721,2.1022,1.1545,1.5597,0.5921,1.4362,1.1889
0.5685,1.8399,1.5079,1.8726,-0.3615,-0.8138,-2.141,-0.237,1.5628,-1.1106,2.1299,1.0237,0.4436
1.0481,1.4377,0.5653,0.9852,1.4169,1.0356,0.2186,-0.1404,1.3295,0.9995,-0.5124,1.0282,-0.038
-0.3511,0.7133,0.7702,-0.0485,1.1726,0.8105,1.314,1.8101,-0.4296,1.3417,-2.2569,-1.9566,-1.0124
0.1372,0.2102,-1.4559,-1.2128,0.5012,-0.5671,-0.5383,-0.1977,-0.0729,-0.603,-0.7895,-0.9563,0.254
-0.0219,0.0176,0.9882,-1.8019,-0.6014,0.2169,-0.8869,-1.7864,-0.2915,-0.8978,-0.2545,0.2601,0.9895
1.3382,0.7877,0.8883,0.0465,1.3018,1.3654,0.6277,0.5416,1.3682,0.8931,3.0431,-2.7337,1.1132
0.7335,1.2869,1.1344,-0.7406,0.217,0.4073,-0.6056,0.0531,0.872,0.3566,0.9428,1.8739,1.5944
-0.645,-0.0543,-0.6064,-0.5997,1.4426,-0.7837,0.9498,-0.5806,0.0584,0.4543,0.3319,0.4503,0.7727
0.467,1.5109,0.7769,1.3299,-0.3726,-0.4423,0.3698,0.46,0.7081,-0.1538,-0.0405,0.817,0.2788
2.0786,0.776,1.0666,1.7598,-0.2988,1.1304,0.9828,1.059,1.3603,0.8322,0.7391,-0.8762,1.2973
0.8505,0.7637,0.6233,1.4757,0.9327,-0.4227,0.0506,0.495,0.3745,0.7959,-0.9499,0.6911,0.6863
-0.4929,-0.7253,-0.8537,-0.0694,-2.0915,-2.1947,-2.8382,-1.8691,-1.0855,-2.6009,-1.8117,0.2975,-2.3605
