entity,time,x,y
1,1,-0.8133,0.5305
1,2,0.5061,0.0982
1,3,-1.7357,-2.3299
1,4,-1.8241,0.3832
1,5,-0.6471,1.2185
2,1,0.9335,5.5051
2,2,-1.3877,1.8024
2,3,-0.0451,5.1628
2,4,-0.0988,4.1619
2,5,-0.4165,4.6479
3,1,-2.1675,-1.7922
3,2,0.3572,2.1014
3,3,-0.2472,2.0252
3,4,-0.0718,2.2694
3,5,-0.1334,1.4889
4,1,-0.569,3.4058
4,2,-0.1233,4.0517
4,3,0.9208,4.1986
4,4,2.3943,8.2287
4,5,-0.4116,4.2574
5,1,0.0832,2.9162
5,2,1.2835,6.6807
5,3,0.1227,2.4284
5,4,-0.5237,2.782
5,5,-0.0308,5.1844
6,1,-1.2779,0.595
6,2,-0.7228,2.0191
6,3,-0.6024,1.0102
6,4,0.6958,2.0275
6,5,-0.5094,0.2592
7,1,0.6681,5.8047
7,2,0.1283,3.0959
7,3,-1.0246,2.7347
7,4,-1.4575,3.9235
7,5,-0.3465,4.0233
8,1,0.0137,0.8144
8,2,0.9569,3.5994
8,3,-0.4887,2.179
8,4,-0.0836,0.6161
8,5,-0.2272,2.6806
9,1,1.3442,3.3948
9,2,0.0206,3.704
9,3,1.5886,3.6099
9,4,1.9081,5.1523
9,5,1.0481,4.0264
10,1,0.4538,-0.72
10,2,0.7716,1.5681
10,3,0.1015,0.9807
10,4,-0.1132,-0.1524
10,5,-0.8558,-0.2312
11,1,-0.6065,2.0867
11,2,-0.5926,2.8468
11,3,0.1817,2.4466
11,4,-1.7924,3.4474
11,5,-1.7584,1.6859
12,1,-0.7907,4.4147
12,2,-0.033,5.1649
12,3,-0.3011,4.667
12,4,0.2475,4.5231
12,5,-0.4005,4.6628
13,1,0.7158,-0.807
13,2,-2.1064,-3.0678
13,3,0.8536,1.9313
13,4,2.9453,3.0021
13,5,0.2669,1.3674
14,1,-0.0428,2.4559
14,2,0.1459,4.1696
14,3,-0.2596,2.6982
14,4,-1.491,1.3629
14,5,-0.3128,2.5502
15,1,0.703,4.9711
15,2,-1.1136,4.9103
15,3,-0.1304,6.2731
15,4,-1.9375,3.424
15,5,-0.4234,2.8206
16,1,-0.4664,3.3919
16,2,0.2196,3.5951
16,3,-2.344,0.5384
16,4,-1.5995,1.8674
16,5,-0.8309,5.135
17,1,-0.4457,2.9934
17,2,2.3356,5.8394
17,3,-0.6479,2.9564
17,4,0.4828,5.4529
17,5,0.1306,4.3527
18,1,0.3597,4.3465
18,2,0.5405,4.9338
18,3,-1.5819,1.795
18,4,-0.5421,4.9
18,5,-0.4543,5.1958
19,1,-0.4064,5.6696
19,2,1.0447,7.2671
19,3,1.1024,7.4356
19,4,-1.0069,5.2181
19,5,-1.8883,5.1755
20,1,0.907,3.997
20,2,-1.3237,2.536
20,3,2.0905,6.0813
20,4,0.1574,4.8044
20,5,-2.0586,2.8031
21,1,1.2515,3.4558
21,2,0.0492,1.0117
21,3,-0.942,-0.0937
21,4,0.9297,2.7256
21,5,0.3784,3.2788
22,1,-0.4447,4.6037
22,2,-0.4808,1.5918
22,3,-0.6272,3.1718
22,4,2.0255,5.9062
22,5,0.9837,5.5753
23,1,-0.2623,2.0862
23,2,0.2184,2.514
23,3,1.5074,5.1698
23,4,0.3806,1.9596
23,5,1.6317,5.6037
24,1,1.1084,4.1564
24,2,0.0495,2.7327
24,3,-0.1727,3.5784
24,4,-0.9061,3.1608
24,5,-2.2258,1.0359
25,1,-0.2355,-1.0894
25,2,0.1649,0.3673
25,3,0.9986,2.047
25,4,-0.4998,-1.6305
25,5,-0.1939,-1.3903
26,1,-2.5538,1.8762
26,2,1.0787,2.5176
26,3,-0.3523,2.1574
26,4,-0.6238,4.7407
26,5,-0.8091,4.5198
27,1,2.2392,5.882
27,2,1.1915,6.2182
27,3,0.6548,3.5543
27,4,1.434,5.2294
27,5,0.3345,6.6818
28,1,-0.9088,1.5634
28,2,-0.0865,2.13
28,3,1.1992,4.9275
28,4,-0.1508,2.8944
28,5,-0.0457,3.1972
29,1,-0.046,4.6389
29,2,0.2917,6.9269
29,3,-0.1204,5.9919
29,4,-0.0523,7.7894
29,5,1.3005,9.1427
30,1,1.1065,3.158
30,2,-0.5785,0.406
30,3,1.0895,2.129
30,4,-0.9975,0.118
30,5,2.1655,4.0233
