school_id,student_id,engagement,prior_achievement,school_support,performance,completed,support_contacts
1,01-01,1.3958,0.6383,-0.7931,54.9749,1,3
1,01-02,-0.3119,0.3038,-0.7931,46.3299,0,1
1,01-03,-0.2259,0.7201,-0.7931,50.1147,0,0
1,01-04,-0.0641,-0.0855,-0.7931,47.7862,0,0
1,01-05,-0.614,-0.4038,-0.7931,45.6145,0,2
1,01-06,-0.1305,-1.3744,-0.7931,42.3429,0,1
1,01-07,0.6566,-0.2323,-0.7931,49.8169,0,1
1,01-08,0.6418,1.8246,-0.7931,53.1975,1,3
1,01-09,1.3482,-1.23,-0.7931,51.4857,1,2
1,01-10,-1.1695,1.3515,-0.7931,48.2955,0,1
1,01-11,1.1377,-0.8855,-0.7931,52.9041,0,4
1,01-12,-0.519,-0.4574,-0.7931,45.7937,1,1
2,02-01,-0.8258,1.4443,0.8767,54.2176,1,3
2,02-02,0.7197,2.1835,0.8767,59.2637,1,1
2,02-03,2.5595,3.1509,0.8767,77.8264,1,3
2,02-04,0.8271,-0.6638,0.8767,58.0925,1,1
2,02-05,-0.4427,-0.0217,0.8767,49.7408,1,1
2,02-06,0.2838,1.2881,0.8767,55.7112,1,1
2,02-07,-0.9854,-1.003,0.8767,42.6458,0,2
2,02-08,-1.4311,-0.9129,0.8767,47.5136,0,3
2,02-09,-0.5933,0.2571,0.8767,46.9344,0,1
2,02-10,0.1697,-1.7408,0.8767,47.1608,0,1
2,02-11,2.2545,-0.583,0.8767,65.5311,1,1
2,02-12,0.4551,-0.153,0.8767,52.6418,1,3
3,03-01,-0.7191,0.0573,1.2869,51.5704,0,1
3,03-02,0.3732,-1.2338,1.2869,50.5561,0,0
3,03-03,-0.196,-0.8537,1.2869,52.6113,0,1
3,03-04,0.588,-1.9571,1.2869,46.4264,0,1
3,03-05,-1.2816,0.1173,1.2869,53.5382,0,0
3,03-06,-0.3824,0.2507,1.2869,49.195,0,1
3,03-07,-1.0468,-1.9572,1.2869,43.3714,0,0
3,03-08,0.9472,-0.3567,1.2869,61.8748,1,2
3,03-09,0.1979,-0.0364,1.2869,56.1944,0,1
3,03-10,0.4874,1.1478,1.2869,56.6823,0,2
3,03-11,-2.288,0.1147,1.2869,40.435,0,1
3,03-12,-0.0272,1.6643,1.2869,54.4317,1,3
4,04-01,1.1185,-0.4584,0.7648,55.4186,1,1
4,04-02,1.039,0.7203,0.7648,64.1858,1,0
4,04-03,0.2123,1.6236,0.7648,57.3186,1,0
4,04-04,-1.0603,-2.0371,0.7648,39.3853,0,1
4,04-05,0.8185,-1.4649,0.7648,52.0989,0,1
4,04-06,2.1066,0.8468,0.7648,71.0089,0,5
4,04-07,-0.9916,-2.46,0.7648,46.5231,0,0
4,04-08,-1.4169,0.0909,0.7648,46.8887,0,2
4,04-09,-0.9489,1.5526,0.7648,56.8655,0,1
4,04-10,0.5514,-0.0295,0.7648,56.2919,1,3
4,04-11,-1.0959,-0.2391,0.7648,46.6929,0,0
4,04-12,-0.8522,0.8492,0.7648,46.6598,1,1
5,05-01,0.7426,0.6213,-0.4534,60.839,0,3
5,05-02,0.9398,-0.942,-0.4534,57.1481,0,0
5,05-03,-0.9203,0.7887,-0.4534,46.4605,1,1
5,05-04,-0.8797,1.3953,-0.4534,47.0134,1,0
5,05-05,0.571,-0.6757,-0.4534,51.8962,0,1
5,05-06,-0.8609,-1.7792,-0.4534,42.3822,1,0
5,05-07,-0.4267,0.0434,-0.4534,50.5914,0,1
5,05-08,1.1365,0.6327,-0.4534,57.2825,1,3
5,05-09,-0.7275,0.7531,-0.4534,48.431,0,0
5,05-10,0.7554,-0.2041,-0.4534,38.8427,0,1
5,05-11,0.5573,0.1149,-0.4534,48.7883,1,3
5,05-12,0.7781,0.2657,-0.4534,51.9842,1,1
6,06-01,0.0761,0.1387,-1.4836,45.6043,0,0
6,06-02,0.4115,0.0361,-1.4836,46.9843,0,0
6,06-03,0.2561,0.9294,-1.4836,46.4304,0,2
6,06-04,0.7864,0.6364,-1.4836,50.186,1,0
6,06-05,-0.4751,0.3691,-1.4836,45.5421,0,3
6,06-06,-1.075,0.0621,-1.4836,39.4042,1,0
6,06-07,-0.6612,-0.6193,-1.4836,34.9035,1,0
6,06-08,-1.1031,-1.5375,-1.4836,33.2217,0,0
6,06-09,-0.56,-0.5413,-1.4836,41.369,1,1
