subject_id,time1,time2,time3
1,49.626,49.976,53.604
2,46.961,49.823,50.914
3,51.704,53.367,54.493
4,49.331,51.691,52.51
5,50.555,52.249,55.565
6,45.302,46.301,48.566
7,45.205,46.139,46.223
8,52.469,55.672,55.452
9,53.687,59.087,54.723
10,40.218,42.876,43.378
11,48.323,51.499,53.594
12,48.313,52.166,52.665
13,56.84,59.199,64.522
14,48.689,50.447,55.459
15,57.743,59.072,62.485
16,63.188,63.057,71.51
17,52.841,51.914,60.741
18,54.982,56.865,58.584
19,49.748,46.936,56.129
20,51.895,55.098,55.117
21,48.321,50.681,56.939
22,52.765,58.529,55.85
23,51.494,56.343,54.553
24,50.507,52.156,55.773
25,53.431,54.217,56.504
26,51.121,54.164,55.52
27,52.016,56.966,51.554
28,55.677,59.432,64.248
29,41.803,43.71,43.629
30,57.045,61.572,65.225
31,44.289,46.223,49.756
32,53.196,57.007,57.509
33,53.289,55.743,56.645
34,49.435,47.698,54.088
35,54.977,55.593,58.655
36,56.686,59.17,56.147
37,45.84,46.991,46.526
38,51.493,53.14,56.125
39,44.729,44.541,50.475
40,52.639,56.116,57.495
41,44.138,46.519,47.295
42,44.083,46.344,45.919
43,40.133,40.696,45.965
44,49.801,51.779,56.173
45,50.682,52.327,53.222
46,44.792,47.516,45.413
47,44.413,46.07,50.229
48,50.407,50.829,55.135
49,47.921,50.35,55.121
50,43.668,44.487,50.065
