id,group,gender,training,motivation,support,performance,before_score,after_score,passed,item1,item2,item3,item4
1,A,Female,4.2,3.9,4.0,72,55,69,1,4,4,5,4
2,A,Male,3.8,3.4,3.5,66,50,61,1,4,3,4,4
3,A,Female,4.5,4.2,4.4,79,60,75,1,5,4,5,5
4,A,Male,3.1,3.0,3.2,58,48,54,1,3,3,3,2
5,A,Female,4.0,3.7,3.9,70,53,67,0,4,4,4,4
6,B,Male,2.9,2.8,3.0,55,46,51,0,3,2,3,3
7,B,Female,3.2,3.3,3.1,60,49,58,0,3,3,4,3
8,B,Male,2.5,2.7,2.8,49,43,47,1,2,3,2,2
9,B,Female,3.6,3.5,3.7,64,51,62,1,4,3,4,3
10,B,Male,2.8,2.6,2.9,52,45,50,0,2,3,3,2
11,C,Female,4.7,4.5,4.6,84,64,81,0,5,5,5,5
12,C,Male,4.4,4.1,4.3,78,59,73,1,4,5,4,5
13,C,Female,4.9,4.7,4.8,88,67,86,1,5,5,5,5
14,C,Male,4.1,4.0,4.2,74,57,71,1,4,4,4,5
15,C,Female,4.6,4.4,4.5,82,62,79,1,5,4,5,4
16,A,Male,3.7,3.6,3.8,68,52,65,1,4,4,3,4
17,B,Female,3.0,3.1,3.0,57,47,55,0,3,3,3,3
18,C,Male,4.3,4.2,4.1,76,58,72,1,4,4,5,4
19,A,Female,3.9,3.8,4.0,71,54,68,1,4,4,4,5
20,B,Male,2.7,2.9,2.7,51,44,49,0,3,2,3,2
